Title,Url
3.1.5 Odczytanie systemu z pliku,http://lc.yum.pl/_help/prog_sys_load_f_file.htm
3.1.6 Odczytanie systemu z bazy,http://lc.yum.pl/_help/prog_sys_load_f_dbase.htm
3.1.7 Zadanie do wykonania,http://lc.yum.pl/_help/prog_sys_shedule.htm
3.2 Cover BAT,http://lc.yum.pl/_help/cover_bat.htm
4 Sztuczki i kruczki,http://lc.yum.pl/_help/sztuczkiikruczki.htm
4.1 Inne metody uzupelniania bazy losowań,http://lc.yum.pl/_help/another_upload_methods.htm
4.2 Manipulacje bazy danych,http://lc.yum.pl/_help/manipulacjebazydanych.htm
4.3 Pole tekstowe sposoby,http://lc.yum.pl/_help/tipsmemo.htm
4.4 Konfigurowanie programu,http://lc.yum.pl/_help/program_configure_method.htm
4.4.1 Jak to zrobic,http://lc.yum.pl/_help/config_what_make.htm
